0, 2, 3, 1, 1, 1.3295, 1.3295, 1.3295
0.05, 2, 3, 1, 1, 1.3282, 1.3282, 1.3282
0.1, 2, 3, 1, 0.9654, 1.3665, 1.3438, 1.3665
0.15, 2, 3, 0.9911, 0.9283, 1.43134, 1.34256, 1.4009
0.2, 2, 3, 0.9738, 0.8871, 1.49066, 1.35374, 1.4598
0.25, 2, 3, 0.9397, 0.8549, 1.50867, 1.36355, 1.5153
0.3, 2, 3, 0.8998, 0.8206, 1.55079, 1.40738, 1.6148
0.35, 2, 3, 0.8561, 0.7773, 1.57014, 1.41451, 1.715
0.4, 2, 3, 0.8095, 0.7336, 1.57949, 1.41889, 1.8305
0.45, 2, 3, 0.775, 0.7059, 1.57613, 1.41196, 1.9495
0.5, 2, 3, 0.7385, 0.6742, 1.56777, 1.40848, 2.0782
0, 2, 4, 1, 1, 2.0178, 2.0178, 2.0178
0.05, 2, 4, 1, 0.9747, 2.0018, 1.9841, 2.0018
0.1, 2, 4, 0.9854, 0.9166, 2.0755, 2.01636, 2.0804
0.15, 2, 4, 0.9809, 0.8933, 2.08186, 1.98869, 2.0876
0.2, 2, 4, 0.9459, 0.8267, 2.13987, 1.99044, 2.1808
0.25, 2, 4, 0.9074, 0.7668, 2.19738, 1.99335, 2.2981
0.3, 2, 4, 0.8852, 0.7284, 2.23125, 1.97652, 2.3674
0.35, 2, 4, 0.8277, 0.6616, 2.26447, 1.96403, 2.5524
0.4, 2, 4, 0.793, 0.6341, 2.26356, 1.94812, 2.6501
0.45, 2, 4, 0.7332, 0.5749, 2.27973, 1.91703, 2.881
0.5, 2, 4, 0.6967, 0.5598, 2.20726, 1.86584, 3.0684
0, 2, 5, 1, 1, 2.4171, 2.4171, 2.4171
0.05, 2, 5, 0.9745, 0.9457, 2.41529, 2.38025, 2.4237
0.1, 2, 5, 0.9537, 0.8681, 2.50163, 2.38509, 2.5084
0.15, 2, 5, 0.9328, 0.8071, 2.54352, 2.34853, 2.5573
0.2, 2, 5, 0.8865, 0.7328, 2.61342, 2.35016, 2.6962
0.25, 2, 5, 0.8488, 0.6807, 2.64962, 2.34038, 2.8113
0.3, 2, 5, 0.7726, 0.608, 2.66037, 2.29375, 3.0085
0.35, 2, 5, 0.721, 0.5636, 2.69667, 2.29986, 3.198
0.4, 2, 5, 0.6497, 0.5059, 2.64645, 2.24531, 3.4834
0.45, 2, 5, 0.6024, 0.4704, 2.59894, 2.19111, 3.7396
0.5, 2, 5, 0.5635, 0.4564, 2.48696, 2.11284, 3.9737
0, 3, 3, 1, 1, 1.9936, 1.9936, 1.9936
0.05, 3, 3, 0.9968, 0.951, 2.02709, 2.00063, 2.0196
0.1, 3, 3, 0.9801, 0.9112, 2.07326, 2.01141, 2.0571
0.15, 3, 3, 0.9588, 0.8632, 2.10221, 1.98413, 2.0668
0.2, 3, 3, 0.9313, 0.8173, 2.16493, 1.99743, 2.1216
0.25, 3, 3, 0.8964, 0.7747, 2.22813, 2.03021, 2.1958
0.3, 3, 3, 0.8484, 0.7209, 2.26332, 2.02303, 2.2674
