0, 2, 3, 1, 1, 1.3269, 1.3269, 1.3269
0.05, 2, 3, 1, 1, 1.332, 1.332, 1.332
0.1, 2, 3, 1, 0.9641, 1.383, 1.33399, 1.3579
0.15, 2, 3, 0.9947, 0.9284, 1.44325, 1.34619, 1.4037
0.2, 2, 3, 0.9854, 0.8935, 1.49493, 1.35031, 1.4502
0.25, 2, 3, 0.9664, 0.856, 1.55205, 1.37208, 1.5222
0.3, 2, 3, 0.9387, 0.8173, 1.60871, 1.39618, 1.6137
0.35, 2, 3, 0.8999, 0.7829, 1.61896, 1.3998, 1.6958
0.4, 2, 3, 0.8667, 0.7345, 1.68074, 1.42056, 1.8322
0.45, 2, 3, 0.8247, 0.7074, 1.67988, 1.43582, 1.9536
0.5, 2, 3, 0.7921, 0.6796, 1.65307, 1.40465, 2.059
0, 2, 4, 1, 1, 2.0055, 2.0055, 2.0055
0.05, 2, 4, 1, 0.973, 2.0184, 2.00257, 2.0184
0.1, 2, 4, 0.9988, 0.9121, 2.07639, 1.9932, 2.0667
0.15, 2, 4, 0.9918, 0.8805, 2.12553, 2.00852, 2.114
0.2, 2, 4, 0.9664, 0.8271, 2.16577, 1.99698, 2.1788
0.25, 2, 4, 0.9262, 0.7565, 2.23764, 1.99484, 2.3116
0.3, 2, 4, 0.9021, 0.7302, 2.25474, 1.98398, 2.3652
0.35, 2, 4, 0.8466, 0.6659, 2.29105, 1.96246, 2.5414
0.4, 2, 4, 0.8119, 0.6358, 2.28735, 1.93882, 2.6293
0.45, 2, 4, 0.7606, 0.5784, 2.32317, 1.91891, 2.8623
0.5, 2, 4, 0.7217, 0.5577, 2.24803, 1.82033, 3.0398
0, 2, 5, 1, 1, 2.3907, 2.3907, 2.3907
0.05, 2, 5, 0.9937, 0.9461, 2.45376, 2.39393, 2.4344
0.1, 2, 5, 0.9711, 0.8668, 2.54258, 2.39975, 2.5228
0.15, 2, 5, 0.9452, 0.8131, 2.55576, 2.34325, 2.5472
0.2, 2, 5, 0.8914, 0.7384, 2.61398, 2.35022, 2.6915
